ots_id	source	target	stance	year	title	subtitle	text
OTS_20060828_OTS0094	1300000	2	-1.0	2006	Strache: Pflege: Neue Ideen statt ÖVP/SPÖ-Wahlgeplänkel	Medizin-Studenten sollen ebenfalls Verantwortung im Pflegebereich übernehmen	Wien (OTS) - FPÖ-Bundesparteiobmann HC Strache unterstützte heute die Forderung von Barbara Rosenkranz, Medizinstudenten für den Pflegedienst heranzuziehen. Der Umgang mit alten und kranken Menschen sei angehenden Ärzten sehr wohl zuzumuten, so Strache.  
OTS_20080902_OTS0287	1500000	3	-1.0	2008	BZÖ-Strutz: Strache und Molterer übten sich heute in Wählervertreibung	"Unglaubwürdige Versprechen ""fünf vor Zwölf"""	"Wien (OTS) - Strache und Molterer übten sich heute in der ORF-TV-Konfrontation in einer Wählervertreibungsaktion. Beide blieben Antworten auf die entscheidenden Fragen der Moderatorin schuldig, wobei die interessanteste Frage des heutigen Abends war: Wie viele Fernsehzuseher haben einfach abgeschaltet?, sagte BZÖ-Generalsekretär Martin Strutz in einer Reaktion auf die ORF-Konfrontation. Das einzig Positive des heutigen Abends war die rasche Lernfähigkeit von Molterer, der sich plötzlich vorstellen kann, die Mehreinnahmen aus der Steuerreform doch den Österreichern wieder zurückzugeben. Molterer hat dies in der TV-Konfrontation mit Jörg Haider noch krampfhaft mit dem Schuldenargument zu verhindern versucht, doch nachdem ihm durch die aktuellen Umfragen ""das Wasser bis zum Hals steht"", wirft er von Tag zu Tag eine ÖVP-Haltung über Bord.. - Ob in der Ausländerfrage, wo man sich plötzlich vorstellen kann, straffällig gewordene Asylanten abzuschieben, bei der Verbesserung des Kindergeldes, bis hin zur Steuerreform werden drei Wochen vor dem Wahltag nur mehr BZÖ-Forderungen kopiert. Der Wähler erkennt jedoch die Unglaubwürdigkeit dieser Aussagen und wird die passende Antwort am 28. September geben, so Strutz abschließend.  "
OTS_20130915_OTS0038	1100000	2	-1.0	2013	SK-Dokumentation: ÖVP-Wirtschaftsprogramm sieht Privatisierungen und massive Verschlechterungen für ArbeitnehmerInnen vor	Privatisierungen, 42-Stunden-Woche, Aushebelung der Sozialpartnerschaft sowie Abbau von ArbeitnehmerInnen-Rechten	"Wien (OTS/SK) - Der SPÖ-Pressedienst stellt eine Dokumentation vonForderungen aus dem Ergebnispapier von ""Unternehmen Österreich 2025"",dem De-facto-Wirtschaftsprogramm der ÖVP, zur Verfügung. ÖVP-ObmannSpindelegger hat mehrmals betont, dass er diese Vorschläge umsetzenmöchte. ****  "
OTS_20021113_OTS0272	1100000	4	-1.0	2002	Swoboda weist Unterstellungen Lichtenbergers zurück	<no subtitle>	"Wien (SK) Als ""etwas dreiste Unterstellung gegen Ende des Wahlkampfs"" wies der Leiter der SPÖ-Delegation und Ökopunkte-Berichterstatter des Europäischen Parlaments, Hannes Swoboda, die ""äußerst unpräzisen Formulierungen"" der grünen Nationalratsabgeordneten Eva Lichtenberger Mittwoch zurück. ""Lichtenberger hat in ihrem Eifer übersehen, dass ich gemeinsam mit dem Ausschusskollegen Reinhard Rack einen Antrag formuliert habe, wonach der Kommissionsvorschlag in der vorliegenden Fassung 'nicht allen Problemen gerecht wird, aber eine brauchbare Umsetzung der diesbezüglichen Beschlüsse von Laeken darstellt"", so Swoboda. ****  "
OTS_20130926_OTS0081	1200000	0	0.0	2013	VP-Hoch ad AMS-Skandal: SPÖ Wien mauert weiter	<no subtitle>	"Wien (OTS) - ""In der heutigen Fragestunde des Wiener Gemeinderateshat sich einmal mehr gezeigt, was die SPÖ von Transparenz undSauberkeit in der Politik hält. Anstatt die massiven Vorwürfe überdie politische Einflussnahme bei der Neubesetzung der AMS WienLeitung restlos aufzuklären, mauert die SPÖ weiterhin und stiehltsich aus der Verantwortung"", so ÖVP Wien Landesgeschäftsführer AlfredHoch in einer ersten Reaktion.  "
OTS_20080818_OTS0140	1100000	2	-1.0	2008	Gesundheit: Oberhauser - Will die ÖVP vor der Wahl keine Verantwortung mehr übernehmen?	<no subtitle>	"Wien (SK) - ""Es zeigt sich immer mehr, dass die ÖVP alle für die Menschen wichtigen Beschlüsse auf nach der Wahl verschieben will"", stellte SPÖ-Gesundheitssprecherin Sabine Oberhauser zu den heutigen Aussagen von ÖVP-Gesundheitsministerin Andrea Kdolsky, wonach die Gesundheitsreform ein Projekt der nächsten Regierung sei, fest. Es gehe keinesfalls nur darum, Geld ins System zu pumpen, sondern es seien ja auch Kosteneinsparungen im Krankenkassensanierungspaket vorgesehen, die umgesetzt gehören, so Oberhauser. ****  "
OTS_20060908_OTS0066	1100000	0	-1.0	2006	Renner: ÖBB und ÖVP in unlauterem Wahlkampf vereint?	Nicht mehr, sondern weniger Jugendliche bekommen bei den ÖBB eine Lehrstelle	"St. Pölten, (SPI) - ""Das ist bewusste Tatsachenverdrehung auf dem Rücken junger Menschen, die einen Lehrplatz suchen und keinen finden. Bei den ÖBB gibt es nicht mehr, sondern es sollen massiv weniger Lehrplätze werden"", so die Jugendsprecherin der NÖ Sozialdemokraten, LAbg. Mag. Karin Renner, zu Aussagen von ÖVP-Minister Bartenstein und ÖBB-Chef Huber. Die ÖBB beabsichtigen ja, in der Lehrlingsausbildung rund eine Million Euro einzusparen. Ausbildner sollen eingespart werden, die unternehmenseigene Berufsschule mit angeschlossener Lehrwerkstätte in St. Pölten soll geschlossen werden.****  "
OTS_20060912_OTS0289	1100000	2	-1.0	2006	Broukal an Gehrer: Alles goldrichtig, oder was?	SPÖ fordert Abbau der Wartelisten an den Medizinunis und Abschaffung der Studiengebühren	"Wien (SK) - ""Ein neues Schuljahr hat begonnen, aber die alten Probleme, die Gehrer-Probleme bleiben"", konstatierte SPÖ-Wissenschaftssprecher Josef Broukal am Dienstag im Nationalrat. Ministerin Gehrer würde immer wieder die Probleme im Bildungsbereich verleugnen, dies zeige auch ihre Aussage ""Alles war goldrichtig"" in der Kleinen Zeitung zu ihrer Regierungszeit, so Broukal. Für zahlreiche Studierende in Österreich sei allerdings nicht alles so goldrichtig wie Gehrer behaupte. Broukal brachte deshalb zwei Entschließungsanträge ein: Zum ersten fordere man den gänzlichen Abbau der Wartelisten an der Medizinischen Universität in Wien und die zur Verfügungstellung der dafür notwendigen Ressourcen, zum zweiten verlange man die Abschaffung der Studiengebühren. ****  "
OTS_20080825_OTS0184	1200000	1	-1.0	2008	Karl: SPÖ will Universitäten in den Ruin treiben	Designierte ÖVP-Wissenschaftssprecherin kritisiert Wortbruch Faymanns	Wien, 25. August 2008 (ÖVP-PK) 'Die SPÖ will die Universitäten gezielt in den Ruin treiben', so die designierte ÖVP-Wissenschaftssprecherin Dr. Beatrix Karl. Denn mit der heutigen Ankündigung Faymanns, die Studiengebühren in einer Sondersitzung des Nationalrates noch vor der Nationalratswahl abschaffen zu wollen, stürze der SPÖ-Chef die Unis in ein finanzielles Chaos. 'Faymann zerstört damit die finanzielle Basis der Hochschulen und in weiterer Folge die Zukunft der Jugend und des Arbeitsstandortes Österreich', kritisiert Karl. ****  
OTS_20021120_OTS0112	1200000	1	-1.0	2002	"Wirtschaftsbund: Edlingers ""Nonstop-Nonsens"""	Generalsekretär Kopf - Welchem Einflüsterer folgt Gusenbauer?	"Wien, 20. November 2002 (ÖWB) Als ""Nonstop-Nonsens"" bezeichnete heute, Mittwoch, Wirtschaftsbund-Generalsekretär Karlheinz Kopf die von SP-Edlinger einmal mehr vorgetragene Idee, mit Milliardenschweren Steuergeschenken die Wirtschaft ankurbeln zu wollen. ""Was soll man davon halten, dass ein ehemaliger Finanzminister, Steuersenkungen im Umfang von mehreren Milliarden verlangt, ohne auch nur ein einziges Mal zu sagen, woher er gedenkt das Geld dafür zu nehmen. Hält Edlinger die Menschen für derart naiv?"" ****  "
