ots_id	source	target	stance	year	title	subtitle	text
OTS_20021113_OTS0096	1400000	0	1.0	2002	SCHENNACH: AUSGLIEDERUNG DES RSO UNVERSTÄNDLICH	ORF muss seinem öffentlich-rechtlichen Kulturauftrag nachkommen	"Wien (OTS) ""Der ORF hat viele Stärken, nur 'Kultur pur' nach dieser Reform mit Sicherheit nicht. Da wirkt der Werbeslogan bereits wie eine Karikatur. In diesem Sinne ist auch die beabsichtigte Kindsweglegung, die Ausgliederung des Radiosymphonieorchesters (RSO) zu sehen"", kritisierte der Mediensprecher der Grünen, Stefan Schennach.  "
OTS_20080903_OTS0116	1100000	2	-1.0	2008	"Parnigoni: ""ÖVP kann mit dem Thema Sicherheit nicht umgehen"""	Molterer möchte jetzt Bundesheer-Assistenzeinsatz auch noch streichen - ÖVP wird immer mehr zum Sicherheitsrisiko	"Wien (SK) - ""In den Fernsehdiskussionen betont ÖVP-Obmann Molterer immer, wie wichtig ihm das Thema Sicherheit ist. In der Realität fährt er hier einen rigorosen Sparkurs und möchte jetzt auch noch den Bundesheer-Assistenzeinsatz zur Gänze streichen"", so SPÖ-Sicherheitssprecher Rudolf Parnigoni zu einem Bericht in der heutigen ""Krone"". Parnigoni fordert Molterer mit Nachdruck auf, die notwendigen Mittel für den Grenzschutz zur Verfügung zu stellen. Sollte Molterer seine Pläne tatsächlich wahrmachen, wäre dies ein weiterer Beleg, dass die ÖVP mit dem Thema Sicherheit nicht umgehen kann und immer mehr zum ""Sicherheitsrisiko"" wird. ****  "
OTS_20021106_OTS0104	1900000	0	-2.0	2002	Liberale präsentieren TV-Spots zur Wahl	"Jesionek: ""Wenn Du nichts änderst, wird sich nichts ändern!"""	Wien (OTS) - Im Rahmen einer Pressekonferenz präsentierte heute LIF-Bundessprecher Alexander Zach die TV-Spots der Liberalen zur Wahl. Insgesamt werden fünf verschiedene Spots rund 400 mal in den Österreich-Werbefenstern von Sat1, RTL, Pro 7, Kabel 1 und Viva sowie im österreichischen Privatfernsehen ATV geschalten. Regie führte der Filmemacher Alexander Schukoff, der mit seinem Engagement damit auch die Unterstützung für die Liberalen zum Ausdruck brachte.  
OTS_20021030_OTS0173	1200000	3	0.0	2002	Rauch-Kallat zu Haupt: Menschen können sich auf ÖVP verlassen	Bei Benes-Dekreten wird es eine gute Lösung im Interesse Österreichs geben	"Wien, 30. Oktober 2002 (ÖVP-PK) ""Wer eine konsequente und verlässliche Politik will, die zu konkreten Ergebnissen für Österreich und seine Bevölkerung führt, ist bei Bundeskanzler Wolfgang Schüssel und der Volkspartei gut aufgehoben"", sagte heute, Mittwoch, ÖVP-Generalsekretärin Abg.z.NR Maria Rauch-Kallat zu den Aussagen von Sozialminister Herbert Haupt. ****  "
OTS_20080921_OTS0047	1100000	2	-1.0	2008	Csörgits zu Kopf: ÖVP war für Rekordarbeitslosigkeit verantwortlich - SPÖ für Rekordbeschäftigung	"""Wie will die ÖVP mit Konzeptlosigkeit und Blockaden Arbeitsplätze sichern?"""	"Wien (SK) - SPÖ-Sozialsprecherin Renate Csörgits hält gerade die ÖVP beim Thema Bekämpfung der Arbeitslosigkeit für ""vollkommen unglaubwürdig"". Sie erinnert daran, dass die ÖVP-Regierung in den Jahren 2000 bis 2006 Österreich die höchste Arbeitslosigkeit seiner Geschichte beschert habe, im Jänner 2006 waren 380.000 Menschen arbeitslos. Der SPÖ-Regierung sei es gelungen, diese Rekordarbeitslosigkeit rasch abzubauen und die Beschäftigung auf einen historischen Höchststand zu bringen, so Csörgits weiter. ****  "
OTS_20060920_OTS0005	1200000	0	-2.0	2006	Schüssel: Realistische Hoffnungen für die Zukunft geben, statt Angst machen BILD  	Schüssel-Rede vor rund 4.000 begeisterten Menschen im Linzer Design Center	"Linz, 20. September 2006 (ÖVP-PD) - ÖVP-Bundesparteiobmann Bundeskanzler Dr. Wolfgang Schüssel referierte bei der gestrigen Abendveranstaltung im Linzer Design Center anlässlich des Bundeskanzler-Tages in Oberösterreich zu den Themen ""Einsatz, Geschick und Verantwortung"" in der Politik. Am Podium des Design Centers suchte Bundeskanzler Schüssel vor 4.000 interessierten Menschen auch den Dialog mit Leistungsträgern aus sämtlichen österreichischen Gesellschaftsschichten. ****  "
OTS_20080820_OTS0058	1400000	2	0.0	2008	Anschober und Trübswasser: Appell an Innenministerin Fekter, rasch die Forderungen des Landes für Abschiebestopp und Bleiberecht für die Familien Pacolli und Shala zu erfüllen	Aufruf zur Teilnahme an Solidaritäts-Kundgebung am Donnerstag, 21. August, 18.30 Uhr, vor dem Stadtamt in Gallneukirchen	"Linz (OTS) - Vor eineinhalb Jahren bereits haben sich die Fraktionen von ÖVP, SPÖ und Grüne des Oö. Landtags mit 52 von 56 Stimmen in einer Resolution an die Bundesregierung für einen ""Verbleib für besonders gut integrierte und von Abschiebung bedrohte Personen und Familien"" ausgesprochen. Und erst kürzlich ist auch die Oö. Landesregierung konkret für ein Bleiberecht für die beiden Familien Pacolli und Shala eingetreten. Gemeinderäte, Bürgermeister und viele Menschen des öffentlichen Lebens treten offen für eine Bleiberechtsregelung ein.  "
OTS_20080824_OTS0025	1200000	1	-1.0	2008	Donnerbauer zu Kindesmissbrauch: Berger bei Evaluierung der Strafrahmen für Sexualdelikte noch immer säumig	SPÖ stellt Täter- vor Opferschutz	Wien, 24. August 2008 (ÖVP-PK) 'Justizministerin Berger ist bei der Evaluierung der Strafrahmen für Sexualdelikte noch immer säumig. Es kann nicht sein, dass Berger und die SPÖ den Täter- vor den Opferschutz stellen. Faymann hat als Regierungskoordinator völlig versagt. Seine Aufgabe wäre es gewesen zu gewährleisten, dass das was in der Regierung vereinbart wurde letztendlich auch umgesetzt wird. Bei den Sexualstraftätern hat er eindeutig versagt', so ÖVP-Justizsprecher Mag. Heribert Donnerbauer. Bereits im März 2007 sei Berger mittels eines parlamentarischen Entschließungsantrags aufgefordert worden, die Strafrahmen zu evaluieren. 'Bisher sind fast eineinhalb Jahre vergangen und Berger hat nicht gehandelt. Dabei hat Berger mehrmals versprochen, dass die geschieht. Dieses Versprechen hat sie bereits gebrochen. Bei Sexualdelikten muss die volle Härte des Gesetzes gelten, um Kinder und Familien zu schützen', so Donnerbauer. ****
OTS_20170909_OTS0004	1300000	2	-1.0	2017	FPÖ-Kickl: Schelling muss die Rolle des BMF in der Causa Kanzler-Mauer aufklären	<no subtitle>	Wien (OTS) - „Keiner will es gewesen sein, keiner hat es gewusst. ÖVP-Kanzler Schelling scheint sich in die Riege der Gedächtnislosen einreihen zu wollen. Schelling soll nicht den Überraschten und Entsetzen spielen und über den Umgang mit Steuergeld schwadronieren, sondern die Rolle des BMF in der Causa Kanzler-Mauer aufklären. Das heißt, er soll den Aktenlauf zwischen der Präsidialsektion des Bundeskanzleramtes und der zuständigen Abteilung in seiner Budgetsektion umgehend offenlegen. Das BMF hat die Kontrolle in dieser Sache anscheinend schwer vernachlässigt“, sagte heute FPÖ-Generalsekretär NAbg. Herbert Kickl, der für kommende Woche auch eine parlamentarische Anfrage an den Finanzminister ankündigte.
OTS_20060910_OTS0059	1100000	2	-1.0	2006	Causa Gumpinger: Parnigoni wirft Regierung Kontrollversagen vor	SPÖ verlangt rasche und lückenlose Aufklärung	"Wien (SK) - Ein ""grobes Kontrollversagen"" wirft SPÖ-Sicherheitssprecher Rudolf Parnigoni der Bundesregierung im Zusammenhang mit der angeblichen Schlepper-Affäre rund um den hochrangigen ÖVP-Politiker Otto Gumpinger vor. Der SPÖ-Sicherheitssprecher verweist auf das sehr genau begründete Ansuchen des LG Linz um Aufhebung der Immunität von Gumpinger. Parnigoni: ""Offensichtlich hat man im Innen- und im Außenministerium viele Monate darüber hinweg gesehen, auf welch plumpe und eventuell auch kriminelle Weise hunderte Ukrainer, Rumänen und Moldawier unter einem karitativen Deckmantel ins Land geschleust wurden"". ****  "
OTS_20060908_OTS0065	1200000	1	-1.0	2006	"Seniorenbund: ""Gusenbauer betreibt reine Panikmache"""	Generalsekretär Becker stellt Falschaussagen klar	"Wien (OTS) - In der TV-Konfrontation von gestern Abend hatte Gusenbauer behauptet, Frauen hätten durch die Pensionspolitik der Bundesregierung eine wesentliche Schlechterstellung erfahren. ""Das ist schlichtweg falsch - SPÖ-Gusenbauer leugnet zum x-ten Mal die Wahrheit"", stellt Heinz K. Becker, der Generalsekretär des Österreichischen Seniorenbundes, klar: ""Faktum ist: Noch keine Bundesregierung hat so viel für die Frauen getan, wie die unter Kanzler Dr. Wolfgang Schüssel.""  "
OTS_20060823_OTS0157	1100000	2	-1.0	2006	"Pflege: Bures - ""Schüssel lässt die Menschen im Stich"""	Pflegenotstand jedenfalls seit 2004 in Regierung bekannt - Regierung blieb trotzdem untätig	"Wien (SK) - Nach dem Bericht der Zeitschrift News wurde regierungsintern jedenfalls schon seit dem Februar 2004 von einem ""Pflegenotstand"" gesprochen. Das geht aus einem Brief hervor, den Gesundheitsministerin Rauch-Kallat im Februar 2004 an Wirtschaftsminister Bartenstein geschrieben hat. ""Trotzdem stellt sich Schüssel noch vor zwei Wochen hin und leugnet jeden Handlungsbedarf in diesem Bereich"", kritisiert SPÖ-Bundesgeschäftsführerin Doris Bures. Sie wirft dem Kanzler vor, ""dass er die Menschen mit diesem existenziell wichtigen Problem alleine lässt"". ****  "
OTS_20060823_OTS0186	1500000	2	-1.0	2006	"BZÖ Gebauer: ""Herr Steixner, Thema verfehlt!"""	Sozialministerin fordert Behebung von Missständen wo sie vorhanden sind.	Innsbruck (OTS) -  
OTS_20021016_OTS0185	1200000	0	-1.0	2002	WIRTSCHAFTSBUND: ÖGB-LEUTNER VERBREITET UNWAHRHEITEN	"GS-Kopf - ""Scharfmacher Leutner disqualifiziert sich"""	"Wien, 16. Oktober 2002 (ÖWB) ""Richard Leutner mag sich in seiner neuen Rolle als Scharfmacher gefallen, als Sozialpartner disqualifiziert er sich, wenn er wider besseren Wissens Unwahrheiten verbreitet."" Das sagte heute, Mittwoch, Wirtschaftsbund-Generalsekretär Karlheinz Kopf auf die erneuten ""unwahren Behauptungen"" des ÖGB-Gewerkschaftssekretärs, dass die Gewerbetreibenden im Pensionssystem bevorzugt würden und der Eigenfinanzierungsgrad bei den Selbstständigen erhöht werden müsste. ****  "
OTS_20021014_OTS0119	1100000	2	-1.0	2002	"Nestroy-Gala: Muttonen weist ÖVP-Aufforderung als ""völlig unangebracht"" zurück"	<no subtitle>	"Wien (SK) SPÖ-Kultursprecherin Christine Muttonen sieht in den Missbrauchsvorwürfen der ÖVP-Vizechefin Gehrer gegen die Künstler André Heller und Andrea Eckert einen Zensurversuch gegen unabhängige Künstler. ""Es ist offenbar so, dass mittlerweile auch bei der ÖVP der Satz des Alt-FPÖ-Obmanns Haider - 'Die Hand die einen füttert, soll man nicht beißen' - zum kulturpolitischen Programm erhoben wurde"", sagte Muttonen. Die Aufforderung zur Distanzierung, die von Gehrer an die SPÖ gerichtet wurde, sei ""völlig unangebracht"", betonte Muttonen gegenüber dem SPÖ-Pressedienst. Zumal Heller nichts anderes getan habe, als ""pointiert und realitätsgetreu die näheren Umstände der letzten Regierungsbildung zu beleuchten"". ****  "
OTS_20021023_OTS0189	1400000	2	-1.0	2002	Glawischnig: Molterer hat Sinn des Pfansystems nicht verstanden	Bei Pfandsystem bekommen KonsumentInnen Pfand zurück	"Wien (OTS) - ""Die heutigen Behauptungen des Landwirtschaftsministers, die Vorschläge der Grünen zur Abwendung des von ihm verursachten Verpackungsdesasters würden eine Mehrbelastung für KonsumentInnen bedeuten, gehen völlig ins Leere"", so Eva Glawischnig, stv. Bundessprecherin der Grünen. ""Pfandsysteme, wie sie jetzt in Deutschland eingeführt werden, belasten die KonsumentInnen mit keinem Cent, da es ja die Logik eines Pfandsystems ist, dass die KonsumentInnen das Geld bei Retournierung zurückbekommen"", so Glawischnig.  "
OTS_20080827_OTS0290	1100000	2	0.0	2008	"Bures bittet Molterer: ""Diesen Stil der politischen Auseinandersetzung nicht zulassen"""	"""Treten Sie mit uns in den Wettbewerb der besseren Ideen"""	"Wien (SK) - In Reaktion auf die Frontalattacken des steirischen ÖVP-Obmannes Schützenhöfer auf SPÖ-Vorsitzenden, Bundesminister Werner Faymann bittet SPÖ-Bundesgeschäftsführerin Doris Bures den ÖVP-Vorsitzenden Wilhelm Molterer eindringlich, ""einen solchen Stil in der politischen Auseinandersetzung nicht zuzulassen"". ****  "
OTS_20060927_OTS0222	1100000	2	-1.0	2006	Krainer: Schüssel negiert Sicherheitsrisiko Temelin	Kanzler verkauft Bevölkerung für dumm	"Wien (SK) - ""Zum wiederholten Male zeigt sich, was für ein enormes Sicherheitsrisiko das tschechischen AKW Temelin für die österreichischen Bevölkerung in den Grenzregionen bedeutet"", erklärte SPÖ-Umweltsprecher Jan Krainer am Mittwoch gegenüber dem SPÖ-Pressedienst. Krainer bezieht sich auf eine Meldung, wonach in Temelin lecke Brennstäbe gefunden wurden. Obwohl klar erwiesen sei, dass von Temelin ein ""permanentes Gefährdungspotenzial ausgeht, rühren Kanzler Schüssel und Umweltminister Pröll keinen Finger"", kritisierte der SPÖ-Umweltsprecher. Es stelle sich die Frage, ""was noch alles passieren muss, bis die Regierung endlich etwas unternimmt"", so Krainer. ****  "
